ID,Domaine,Module,Titre,Description détaillée,Dépend de,Peut commencer sans dépendance,Priorité,Estimation (j)
B01,Structure,Global,Setup projet backend,"Initialiser le projet backend (ex : Node.js/Express, NestJS, ou équivalent). Configurer TypeScript, ESLint, Prettier. Définir l'architecture modulaire (modules/, controllers/, services/, repositories/, middlewares/, utils/). Configurer les variables d'environnement (.env, .env.example). Mettre en place le logger.",–,Oui,Critique,1
B02,Base de données,Global,Schéma BDD et migrations,"Concevoir et implémenter le schéma de base de données complet : tables users, products, categories, orders, order_items, addresses, payment_methods, cart_items, contact_messages, chatbot_logs, carousel_items. Définir les relations (FK, index). Mettre en place un ORM (ex : Prisma, TypeORM) et le système de migrations versionné.",B01,Non,Critique,3
B03,Auth,Authentification,Inscription utilisateur,"Endpoint POST /auth/register. Valider : nom complet non vide, email format valide et unique, mot de passe (min 8 car., majuscule, minuscule, chiffre, spécial). Hasher le mot de passe (bcrypt, salt ≥ 12). Créer l'utilisateur en BDD avec statut non confirmé. Générer un token de confirmation unique (UUID ou JWT signé), valide 24h. Envoyer l'email de confirmation avec lien tokenisé.",B02,Non,Critique,2
B04,Auth,Authentification,Confirmation email inscription,"Endpoint GET /auth/confirm-email?token=xxx. Vérifier l'existence et la validité du token (non expiré, non déjà utilisé). Activer le compte utilisateur (statut confirmé). Invalider le token après usage. Renvoyer un token d'accès JWT pour auto-connexion post-confirmation.",B03,Non,Critique,1
B05,Auth,Authentification,Connexion utilisateur,"Endpoint POST /auth/login. Vérifier email + mot de passe (bcrypt compare). Refuser si compte non confirmé (message explicite). Générer JWT access token (courte durée, ex : 15min) + refresh token (longue durée, ex : 7j, stocké en BDD ou cookie httpOnly). Retourner les tokens. Implémenter l'option 'Se souvenir de moi' (durée du refresh token adaptée).",B04,Non,Critique,1
B06,Auth,Authentification,Refresh token,"Endpoint POST /auth/refresh. Valider le refresh token (signature, expiration, présence en BDD). Générer un nouvel access token. Rotation du refresh token (invalider l'ancien, émettre un nouveau). Gestion de la révocation (logout invalide le refresh token).",B05,Non,Critique,1
B07,Auth,Authentification,Mot de passe oublié / reset,"Endpoint POST /auth/forgot-password : vérifier que l'email existe, générer un token de reset (UUID, valide 24h), envoyer l'email avec lien sécurisé. Endpoint POST /auth/reset-password : valider le token, vérifier les règles du nouveau mot de passe, hasher et sauvegarder, invalider le token.",B05,Non,Haute,1
B08,Auth,Authentification,Déconnexion,"Endpoint POST /auth/logout. Invalider le refresh token en BDD ou liste noire. Supprimer le cookie httpOnly si utilisé. Retourner 200.",B05,Non,Haute,0.5
B09,Auth,Backoffice,Authentification 2FA administrateurs,"Endpoint POST /admin/auth/login : connexion avec email + mot de passe admin. Si 2FA activé : générer et envoyer un OTP par email ou TOTP (Google Authenticator). Endpoint POST /admin/auth/verify-2fa : valider l'OTP. Génerer le JWT admin après validation. Middleware de vérification du rôle admin sur toutes les routes /admin/*.",B05,Non,Critique,2
B10,Utilisateur,Compte,CRUD compte utilisateur,"Endpoint GET /users/me : retourner le profil utilisateur (sans mot de passe). Endpoint PATCH /users/me/name : modifier le nom. Endpoint PATCH /users/me/email : déclencher l'envoi d'un email de confirmation sur le nouvel email avant de le changer. Endpoint PATCH /users/me/password : vérifier l'ancien mot de passe, valider et hasher le nouveau. Protéger toutes ces routes par JWT.",B05 B02,Non,Haute,2
